GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
3400341100,060,34,003,35620,408,99999,999,Lodi borough,24136,10127,23971,9908,24136,23971,16459,18736,1816,852,101,40,2069,2124,15,8,2774,1498,902,713
3400342090,060,34,003,35620,408,99999,999,Lyndhurst township,20554,8787,19383,8103,20554,19383,17053,17433,406,119,34,9,1355,1046,6,1,1144,397,556,378
3400342750,060,34,003,35620,408,99999,999,Mahwah township,25890,9868,24062,9577,25890,24062,22180,21157,678,519,146,169,2021,1518,2,7,363,361,500,331
3400344880,060,34,003,35620,408,99999,999,Maywood borough,9555,3769,9523,3777,9555,9523,7145,8054,510,266,17,7,1049,682,2,1,589,315,243,198
3400346110,060,34,003,35620,408,99999,999,Midland Park borough,7128,2861,6947,2650,7128,6947,6616,6656,60,30,9,4,192,154,0,1,134,53,117,49
3400347610,060,34,003,35620,408,99999,999,Montvale borough,7844,2872,7034,2590,7844,7034,6654,6527,81,31,6,6,866,377,0,0,128,44,109,49
3400347700,060,34,003,35620,408,99999,999,Moonachie borough,2708,1053,2754,1074,2708,2754,2074,2359,38,26,3,3,272,183,0,0,232,81,89,102
3400351660,060,34,003,35620,408,99999,999,New Milford borough,16341,6362,16400,6437,16341,16400,11522,12888,608,429,20,19,3169,2420,4,4,586,305,432,335
3400352320,060,34,003,35620,408,99999,999,North Arlington borough,15392,6573,15181,6529,15392,15181,12712,13603,220,70,36,22,1211,852,2,2,928,348,283,284
3400353430,060,34,003,35620,408,99999,999,Northvale borough,4640,1635,4460,1596,4640,4460,3338,3698,49,34,9,3,1114,627,1,0,53,52,76,46
3400353610,060,34,003,35620,408,99999,999,Norwood borough,5711,2007,5751,1888,5711,5751,3955,4478,78,48,0,1,1552,1092,1,0,59,54,66,78
3400353850,060,34,003,35620,408,99999,999,Oakland borough,12754,4470,12466,4345,12754,12466,11824,11813,113,97,24,8,532,337,1,1,62,87,198,123
3400354870,060,34,003,35620,408,99999,999,Old Tappan borough,5750,1995,5482,1804,5750,5482,4300,4533,42,33,5,3,1279,857,0,0,36,24,88,32
3400354990,060,34,003,35620,408,99999,999,Oradell borough,7978,2831,8047,2833,7978,8047,6844,7248,54,39,6,3,898,651,0,1,64,26,112,79
3400355770,060,34,003,35620,408,99999,999,Palisades Park borough,19622,7362,17073,6386,19622,17073,5670,8241,385,235,60,32,11350,7016,10,5,1765,991,382,553
3400355950,060,34,003,35620,408,99999,999,Paramus borough,26342,8915,25737,8209,26342,25737,19042,20380,374,291,28,12,5869,4434,13,3,366,229,650,388
3400356130,060,34,003,35620,408,99999,999,Park Ridge borough,8645,3428,8708,3258,8645,8708,7706,8140,90,75,19,12,525,336,2,2,223,64,80,79
3400361680,060,34,003,35620,408,99999,999,Ramsey borough,14473,5550,14351,5400,14473,14351,12946,13148,94,112,17,14,964,840,0,1,274,78,178,158
3400362910,060,34,003,35620,408,99999,999,Ridgefield borough,11032,4145,10830,4120,11032,10830,6874,8217,132,83,20,9,3206,1887,2,4,514,379,284,251
3400362940,060,34,003,35620,408,99999,999,Ridgefield Park village,12729,5164,12873,5134,12729,12873,8413,10067,815,528,44,28,1461,1011,1,4,1519,837,476,398
3400363000,060,34,003,35620,408,99999,999,Ridgewood village,24958,8743,24936,8802,24958,24936,20518,21899,398,409,16,11,3242,2162,4,0,265,148,515,307
3400363360,060,34,003,35620,408,99999,999,River Edge borough,11340,4261,10946,4210,11340,10946,8326,9208,172,116,6,9,2516,1379,9,1,142,89,169,144
3400363690,060,34,003,35620,408,99999,999,River Vale township,9659,3521,9449,3312,9659,9449,8582,8724,68,55,4,0,813,557,0,2,51,41,141,70
3400363990,060,34,003,35620,408,99999,999,Rochelle Park township,5530,2170,5528,2111,5530,5528,4547,4980,160,25,14,2,482,333,0,0,215,112,112,76
3400364170,060,34,003,35620,408,99999,999,Rockleigh borough,531,86,391,80,531,391,505,351,11,13,1,1,8,15,0,0,1,4,5,7
3400365280,060,34,003,35620,408,99999,999,Rutherford borough,18061,7278,18110,7214,18061,18110,14010,14849,527,489,13,8,2362,2054,1,5,664,337,484,368
3400365340,060,34,003,35620,408,99999,999,Saddle Brook township,13659,5485,13155,5161,13659,13155,11521,11936,316,183,22,5,1121,623,0,0,436,223,243,185
3400365400,060,34,003,35620,408,99999,999,Saddle River borough,3152,1341,3201,1183,3152,3201,2670,2876,66,24,3,0,297,229,2,1,37,26,77,45
3400368970,060,34,003,35620,408,99999,999,South Hackensack township,2378,879,2249,830,2378,2249,1714,1865,127,49,8,5,126,129,0,7,334,142,69,52
3400372360,060,34,003,35620,408,99999,999,Teaneck township,39776,14024,39260,13719,39776,39260,21214,22082,11013,11298,113,59,3622,2798,25,11,2403,1633,1386,1379
3400372420,060,34,003,35620,408,99999,999,Tenafly borough,14488,4980,13806,4897,14488,13806,10041,10601,128,132,5,13,3799,2634,0,3,178,193,337,230
3400375140,060,34,003,35620,408,99999,999,Upper Saddle River borough,8208,2776,7741,2560,8208,7741,7104,7063,118,72,11,2,828,486,1,1,39,40,107,77
3400376400,060,34,003,35620,408,99999,999,Waldwick borough,9625,3537,9622,3495,9625,9622,8723,8918,104,57,11,4,480,435,0,0,169,126,138,82
3400376490,060,34,003,35620,408,99999,999,Wallington borough,11335,4946,11583,4906,11335,11583,9689,10147,366,309,18,11,631,577,0,2,438,269,193,268
3400377135,060,34,003,35620,408,99999,999,Washington township,9102,3341,8938,3245,9102,8938,8237,8229,98,88,1,4,589,498,2,0,56,39,119,80
3400380270,060,34,003,35620,408,99999,999,Westwood borough,10908,4636,10999,4610,10908,10999,9052,9525,504,629,34,15,805,483,0,1,302,184,211,162
3400382300,060,34,003,35620,408,99999,999,Woodcliff Lake borough,5730,1980,5745,1842,5730,5745,5174,5391,47,50,0,2,371,257,0,0,69,11,69,34
3400382570,060,34,003,35620,408,99999,999,Wood-Ridge borough,7626,3051,7644,3087,7626,7644,6652,6957,109,64,16,6,544,384,1,1,177,135,127,97
3400383050,060,34,003,35620,408,99999,999,Wyckoff township,16696,5827,16508,5638,16696,16508,15616,15607,94,77,7,25,706,611,0,2,79,74,194,112
3400900000,060,34,009,36140,999,99999,999,County subdivisions not defined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400503370,060,34,005,37980,428,99999,999,Bass River township,1443,587,1510,602,1443,1510,1405,1493,4,1,2,1,11,2,0,0,5,2,16,11
3400505740,060,34,005,37980,428,99999,999,Beverly city,2577,1086,2661,1042,2577,2661,1589,1721,770,765,4,3,20,24,0,0,69,38,125,110
3400506670,060,34,005,37980,428,99999,999,Bordentown city,3924,2014,3969,1884,3924,3969,3277,3225,397,519,8,2,107,76,1,1,46,32,88,114
3400506700,060,34,005,37980,428,99999,999,Bordentown township,11367,4360,8380,3436,11367,8380,8455,7486,1216,421,30,17,1201,278,7,0,180,57,278,121
3400508920,060,34,005,37980,428,99999,999,Burlington city,9920,4223,9736,4181,9920,9736,5845,6638,3272,2592,18,26,201,125,4,1,227,126,353,228
3400508950,060,34,005,37980,428,99999,999,Burlington township,22594,8105,20294,7348,22594,20294,13331,13742,6322,4971,35,33,1590,757,9,6,544,296,763,489
3400512670,060,34,005,37980,428,99999,999,Chesterfield township,7699,1601,5955,924,7699,5955,4156,2960,2242,2225,39,40,643,38,2,5,386,503,231,184
3400512940,060,34,005,37980,428,99999,999,Cinnaminson township,15569,5758,14595,5147,15569,14595,13931,13334,855,742,13,24,370,274,3,1,153,72,244,148
3400517080,060,34,005,37980,428,99999,999,Delanco township,4283,1853,3237,1285,4283,3237,3546,3104,470,62,20,8,80,13,5,0,40,13,122,37
3400517440,060,34,005,37980,428,99999,999,Delran township,16896,6442,15536,5936,16896,15536,13688,12875,1616,1464,33,27,683,435,7,25,459,253,410,457
