GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
3400505740,060,34,005,37980,428,99999,999,Beverly city,2577,1086,2661,1042,2577,2661
3400506670,060,34,005,37980,428,99999,999,Bordentown city,3924,2014,3969,1884,3924,3969
3400506700,060,34,005,37980,428,99999,999,Bordentown township,11367,4360,8380,3436,11367,8380
3400508920,060,34,005,37980,428,99999,999,Burlington city,9920,4223,9736,4181,9920,9736
3400508950,060,34,005,37980,428,99999,999,Burlington township,22594,8105,20294,7348,22594,20294
3400512670,060,34,005,37980,428,99999,999,Chesterfield township,7699,1601,5955,924,7699,5955
3400512940,060,34,005,37980,428,99999,999,Cinnaminson township,15569,5758,14595,5147,15569,14595
3400517080,060,34,005,37980,428,99999,999,Delanco township,4283,1853,3237,1285,4283,3237
3400517440,060,34,005,37980,428,99999,999,Delran township,16896,6442,15536,5936,16896,15536
3400518790,060,34,005,37980,428,99999,999,Eastampton township,6069,2380,6202,2312,6069,6202
3400520050,060,34,005,37980,428,99999,999,Edgewater Park township,8881,3926,7864,3301,8881,7864
3400522110,060,34,005,37980,428,99999,999,Evesham township,45538,18303,42275,16324,45538,42275
3400523250,060,34,005,37980,428,99999,999,Fieldsboro borough,540,221,522,204,540,522
3400523850,060,34,005,37980,428,99999,999,Florence township,12109,5053,10746,4391,12109,10746
3400529010,060,34,005,37980,428,99999,999,Hainesport township,6110,2305,4126,1555,6110,4126
3400542060,060,34,005,37980,428,99999,999,Lumberton township,12559,4719,10461,4080,12559,10461
3400543290,060,34,005,37980,428,99999,999,Mansfield township,8544,3529,5090,2122,8544,5090
3400543740,060,34,005,37980,428,99999,999,Maple Shade township,19131,9186,19079,9009,19131,19079
3400545120,060,34,005,37980,428,99999,999,Medford township,23033,8652,22253,8147,23033,22253
3400545210,060,34,005,37980,428,99999,999,Medford Lakes borough,4146,1543,4173,1555,4146,4173
3400547880,060,34,005,37980,428,99999,999,Moorestown township,20726,7862,19017,7211,20726,19017
3400548900,060,34,005,37980,428,99999,999,Mount Holly township,9536,3861,10728,4248,9536,10728
3400549020,060,34,005,37980,428,99999,999,Mount Laurel township,41864,18249,40221,17163,41864,40221
3400551510,060,34,005,37980,428,99999,999,New Hanover township,7385,613,9744,1381,7385,9744
3400553070,060,34,005,37980,428,99999,999,North Hanover township,7678,3370,7347,2670,7678,7347
3400555800,060,34,005,37980,428,99999,999,Palmyra borough,7398,3392,7091,3219,7398,7091
3400557480,060,34,005,37980,428,99999,999,Pemberton borough,1409,642,1210,513,1409,1210
3400557510,060,34,005,37980,428,99999,999,Pemberton township,27912,10749,28691,10778,27912,28691
3400563510,060,34,005,37980,428,99999,999,Riverside township,8079,3147,7911,3118,8079,7911
3400563660,060,34,005,37980,428,99999,999,Riverton borough,2779,1112,2759,1113,2779,2759
3400566810,060,34,005,37980,428,99999,999,Shamong township,6490,2227,6462,2175,6490,6462
3400568610,060,34,005,37980,428,99999,999,Southampton township,10464,5024,10388,4751,10464,10388
3400569990,060,34,005,37980,428,99999,999,Springfield township,3414,1217,3227,1138,3414,3227
3400572060,060,34,005,37980,428,99999,999,Tabernacle township,6949,2445,7170,2385,6949,7170
3400577150,060,34,005,37980,428,99999,999,Washington township,687,284,621,171,687,621
3400578200,060,34,005,37980,428,99999,999,Westampton township,8813,3291,7217,2581,8813,7217
3400581440,060,34,005,37980,428,99999,999,Willingboro township,31629,11442,33008,11124,31629,33008
3400582420,060,34,005,37980,428,99999,999,Woodland township,1788,494,1170,448,1788,1170
3400582960,060,34,005,37980,428,99999,999,Wrightstown borough,802,348,748,339,802,748
3400702200,060,34,007,37980,428,99999,999,Audubon borough,8819,3779,9182,3813,8819,9182
3400702230,060,34,007,37980,428,99999,999,Audubon Park borough,1023,499,1102,499,1023,1102
3400703250,060,34,007,37980,428,99999,999,Barrington borough,6983,3158,7084,3164,6983,7084
3400704750,060,34,007,37980,428,99999,999,Bellmawr borough,11583,4883,11262,4561,11583,11262
3400705440,060,34,007,37980,428,99999,999,Berlin borough,7588,2949,6149,2275,7588,6149
3400705470,060,34,007,37980,428,99999,999,Berlin township,5357,2069,5290,2009,5357,5290
3400708170,060,34,007,37980,428,99999,999,Brooklawn borough,1955,806,2354,1025,1955,2354
3400710000,060,34,007,37980,428,99999,999,Camden city,77344,28358,79904,29769,77344,79904
3400712280,060,34,007,37980,428,99999,999,Cherry Hill township,71045,28452,69965,27074,71045,69965
3400712550,060,34,007,37980,428,99999,999,Chesilhurst borough,1634,621,1520,535,1634,1520
3400713420,060,34,007,37980,428,99999,999,Clementon borough,5000,2235,4986,2206,5000,4986
3400714260,060,34,007,37980,428,99999,999,Collingswood borough,13926,6822,14326,6866,13926,14326
3400726070,060,34,007,37980,428,99999,999,Gibbsboro borough,2274,809,2435,847,2274,2435
3400726760,060,34,007,37980,428,99999,999,Gloucester township,64634,24711,64350,24257,64634,64350
3400726820,060,34,007,37980,428,99999,999,Gloucester City city,11456,4712,11484,4604,11456,11484
3400728740,060,34,007,37980,428,99999,999,Haddon township,14707,6477,14651,6423,14707,14651
3400728770,060,34,007,37980,428,99999,999,Haddonfield borough,11593,4634,11659,4620,11593,11659
3400728800,060,34,007,37980,428,99999,999,Haddon Heights borough,7473,3159,7547,3136,7473,7547
3400732220,060,34,007,37980,428,99999,999,Hi-Nella borough,870,420,1029,495,870,1029
3400758920,060,34,007,37980,428,99999,999,Pine Valley borough,12,22,20,21,12,20
3400739210,060,34,007,37980,428,99999,999,Laurel Springs borough,1908,771,1970,806,1908,1970
3400739420,060,34,007,37980,428,99999,999,Lawnside borough,2945,1174,2692,1110,2945,2692
3400740440,060,34,007,37980,428,99999,999,Lindenwold borough,17613,8251,17414,8244,17613,17414
3400742630,060,34,007,37980,428,99999,999,Magnolia borough,4341,1850,4409,1836,4341,4409
3400745510,060,34,007,37980,428,99999,999,Merchantville borough,3821,1688,3801,1607,3821,3801
3400748750,060,34,007,37980,428,99999,999,Mount Ephraim borough,4676,2010,4495,1881,4676,4495
3400753880,060,34,007,37980,428,99999,999,Oaklyn borough,4038,1847,4188,1893,4038,4188
3400757660,060,34,007,37980,428,99999,999,Pennsauken township,35885,13275,35737,12945,35885,35737
3400758770,060,34,007,37980,428,99999,999,Pine Hill borough,10233,4357,10880,4444,10233,10880
3400765160,060,34,007,37980,428,99999,999,Runnemede borough,8468,3548,8533,3510,8468,8533
3400768340,060,34,007,37980,428,99999,999,Somerdale borough,5151,2158,5192,2168,5151,5192
3400771220,060,34,007,37980,428,99999,999,Stratford borough,7040,2761,7271,2849,7040,7271
3400772240,060,34,007,37980,428,99999,999,Tavistock borough,5,3,24,7,5,24
3400776220,060,34,007,37980,428,99999,999,Voorhees township,29131,12260,28126,11084,29131,28126
3400777630,060,34,007,37980,428,99999,999,Waterford township,10649,3839,10494,3671,10649,10494
3400781740,060,34,007,37980,428,99999,999,Winslow township,39499,14560,34611,12413,39499,34611
3400782450,060,34,007,37980,428,99999,999,Woodlynne borough,2978,1016,2796,1012,2978,2796
3400902320,060,34,009,36140,999,99999,999,Avalon borough,1334,5434,2143,5281,1334,2143
3400910270,060,34,009,36140,999,99999,999,Cape May city,3607,4155,4034,4064,3607,4034
3400910330,060,34,009,36140,999,99999,999,Cape May Point borough,291,619,241,501,291,241
3400917560,060,34,009,36140,999,99999,999,Dennis township,6467,2672,6492,2327,6467,6492
3400941610,060,34,009,36140,999,99999,999,Lower township,22866,14507,22945,13924,22866,22945
3400945810,060,34,009,36140,999,99999,999,Middle township,18911,9296,16405,7510,18911,16405
3400953490,060,34,009,36140,999,99999,999,North Wildwood city,4041,8840,4935,7411,4041,4935
3400954360,060,34,009,36140,999,99999,999,Ocean City city,11701,20871,15378,20298,11701,15378
3400966390,060,34,009,36140,999,99999,999,Sea Isle City city,2114,6900,2835,6622,2114,2835
3400971010,060,34,009,36140,999,99999,999,Stone Harbor borough,866,3247,1128,3428,866,1128
3400974810,060,34,009,36140,999,99999,999,Upper township,12373,6341,12115,5472,12373,12115
3400978530,060,34,009,36140,999,99999,999,West Cape May borough,1024,1043,1095,1004,1024,1095
3400980210,060,34,009,36140,999,99999,999,West Wildwood borough,603,893,448,775,603,448
3400981170,060,34,009,36140,999,99999,999,Wildwood city,5325,6843,5436,6488,5325,5436
3400981200,060,34,009,36140,999,99999,999,Wildwood Crest borough,3270,5569,3980,4862,3270,3980
3400981890,060,34,009,36140,999,99999,999,Woodbine borough,2472,1079,2716,1080,2472,2716
3401100000,060,34,011,47220,428,99999,999,County subdivisions not defined,0,0,0,0,0,0
3401107600,060,34,011,47220,428,99999,999,Bridgeton city,25349,6782,22771,6795,25349,22771
3401114710,060,34,011,47220,428,99999,999,Commercial township,5178,2115,5259,2171,5178,5259
3401116900,060,34,011,47220,428,99999,999,Deerfield township,3119,1143,2927,1065,3119,2927
3401118220,060,34,011,47220,428,99999,999,Downe township,1585,996,1631,1134,1585,1631
3401122350,060,34,011,47220,428,99999,999,Fairfield township,6295,2058,6283,1915,6295,6283
3401128170,060,34,011,47220,428,99999,999,Greenwich township,804,369,847,361,804,847
3401133120,060,34,011,47220,428,99999,999,Hopewell township,4571,1741,4434,1683,4571,4434
3401139450,060,34,011,47220,428,99999,999,Lawrence township,3290,1221,2721,1023,3290,2721
3401144580,060,34,011,47220,428,99999,999,Maurice River township,7976,1506,6928,1461,7976,6928
3401146680,060,34,011,47220,428,99999,999,Millville city,28400,11435,26847,10652,28400,26847
3401167020,060,34,011,47220,428,99999,999,Shiloh borough,516,214,534,204,516,534
3401171160,060,34,011,47220,428,99999,999,Stow Creek township,1431,568,1429,560,1431,1429
